Tokenized_Query,Tokenized_Answer
"['potential', 'career', 'paths', 'students', 'interested', 'genetic', 'engineering', ',', 'medicine', ',', 'public', 'health', ',', 'environmental', 'studies', '?']","['Potential', 'career', 'paths', 'students', 'interested', 'genetic', 'engineering', ',', 'medicine', ',', 'public', 'health', ',', 'environmental', 'studies', 'include', 'pursuing', 'career', 'fields', '.']"
"['students', 'request', 'information', 'Mathematics', 'program', 'Altoona', '?']","['Students', 'request', 'information', 'Mathematics', 'program', 'Altoona', 'visiting', 'http', ':', '//altoona.psu.edu/academics/bachelors-degrees/mathematics/request-information/', '.']"
"['focus', 'School', 'Science', ',', 'Engineering', ',', 'Technology', 'Harrisburg', '?']","['focus', 'School', 'Science', ',', 'Engineering', ',', 'Technology', 'Harrisburg', 'includes', 'minor', 'mathematics', ',', 'program', 'description', 'available', 'http', ':', '//harrisburg.psu.edu/science-engineering-technology/computer-science-and-mathematics/minor-in-mathematics/', '.']"
"['Division', 'Mathematics', 'Natural', 'Sciences', 'Altoona', '?']","['Division', 'Mathematics', 'Natural', 'Sciences', 'Altoona', 'located', 'Hawthorn', 'Building', '115', ',', '3000', 'Ivyside', 'Park', ',', 'Altoona', ',', 'PA', '16601', ',', 'phone', 'number', '814-949-5558', 'email', 'mdw8', '@', 'psu.edu', '.']"
"['program', 'description', 'Microbiology', ',', 'B.S', '.', 'program', '?']","['Microbiology', ',', 'B.S', '.', 'program', 'focuses', 'science', 'microbiology', 'applications', 'various', 'industries', '.']"
"['entrance', 'requirements', 'Microbiology', 'major', '?']","['order', 'eligible', 'enter', 'Microbiology', 'major', ',', 'student', 'must', 'attained', 'least', '2.00', 'cumulative', 'grade-point', 'average', 'completed', 'earned', 'grade', 'C', 'better', 'courses', 'CHEM', '110', ',', 'CHEM', '111', ',', 'CHEM', '112', ',', 'MATH', '140', '.']"
"['degree', 'requirements', 'Bachelor', 'Science', 'degree', 'Microbiology', '?']","['Bachelor', 'Science', 'degree', 'Microbiology', ',', 'minimum', '125', 'credits', 'required', ',', '45', 'credits', 'dedicated', 'General', 'Education', 'requirements', '95', 'credits', 'major', '.', 'includes', '9', 'credits', 'GN', 'courses', '6', 'credits', 'GQ', 'courses', '.']"
"['required', 'graduate', 'Microbiology', 'major', '?']","['graduate', 'Microbiology', 'major', ',', 'student', 'must', 'earn', 'grade', 'C', 'better', '9', 'credits', 'BMB', 'MICRB', '400-level', 'courses', ',', 'except', 'specific', 'courses', 'listed', 'requirements', '.', 'Additionally', ',', 'grade', 'C', 'better', 'required', 'course', 'designated', 'major', 'C-required', 'course', '.']"
"['prescribed', 'courses', 'Microbiology', 'major', '?']","['prescribed', 'courses', 'Microbiology', 'major', 'include', 'BIOL', '322', 'Genetic', 'Analysis', ',', 'BMB', '400', 'Molecular', 'Biology', 'Gene', ',', 'BMB', '401', 'General', 'Biochemistry', ',', 'BMB', '402', 'General', 'Biochemistry', ',', 'BMB', '428', 'Physical', 'Chemistry', 'Biological', 'Applications', ',', 'BMB', '442', 'Laboratory', 'Proteins', ',', 'Nucleic', 'Acids', ',', 'Molecular', 'Cloning', '.']"
"['opportunities', 'exist', 'participation', 'faculty-initiated', 'research', 'projects', 'Microbiology', 'major', '?']","['Ample', 'opportunities', 'exist', 'participation', 'faculty-initiated', 'research', 'projects', 'Microbiology', 'major', ',', 'extensive', 'laboratory', 'experience', 'particular', 'strength', 'program', '.']"
"['course', 'code', 'course', 'Laboratory', 'Organic', 'Chemistry', '?']","['course', 'code', 'course', 'Laboratory', 'Organic', 'Chemistry', 'CHEM', '213', '.']"
"['course', 'code', 'course', 'General', 'Biochemistry', 'II', '?']","['course', 'code', 'course', 'General', 'Biochemistry', 'II', 'CHEM', '212', '.']"
"['course', 'code', 'course', 'Organic', 'Chemistry', '?']","['course', 'code', 'course', 'Organic', 'Chemistry', 'CHEM', '210', '.']"
"['course', 'code', 'course', 'Experimental', 'Chemistry', 'II', '?']","['course', 'code', 'course', 'Experimental', 'Chemistry', 'II', 'CHEM', '113', '.']"
"['course', 'code', 'course', 'Physical', 'Chemistry', 'Biological', 'Applications', '?']","['course', 'code', 'course', 'Physical', 'Chemistry', 'Biological', 'Applications', 'BMB', '428', '.']"
"['examples', 'courses', 'satisfy', 'Cultures', 'requirement', '?']","['examples', 'courses', 'satisfy', 'Cultures', 'requirement', 'include', 'United', 'States', 'Cultures', 'courses', 'International', 'Cultures', 'courses', '.']"
"['credit', 'level', 'requirements', 'students', 'degree', 'program', '?']","['Students', 'degree', 'program', 'must', 'meet', '12th', 'credit', 'level', 'requirements', '6', 'credits', ',', 'whichever', 'higher', '.']"
"['examples', 'Inter-Domain', 'Courses', 'students', 'take', '?']","['examples', 'Inter-Domain', 'Courses', 'include', 'BMB', '408', ',', 'BMB', '488', ',', 'BMB', '496', ',', 'FDSC', '408', ',', 'MICRB', '400-level', 'courses', '.']"
"['requirements', 'First', 'Year', 'Engagement', 'students', '?']","['Students', 'must', 'take', 'First-Year', 'Seminar', 'may', 'need', 'fulfill', 'specific', 'college', 'First-Year', 'Engagement', 'Plan', 'requirements', '.']"
"['minimum', 'total', 'credits', 'required', 'Microbiology', ',', 'B.S', '.', 'degree', '?']","['total', 'minimum', 'credits', 'required', 'Microbiology', ',', 'B.S', '.', 'degree', '120', 'credits', '.']"
"['specific', 'courses', 'students', 'must', 'take', 'fulfill', 'Supporting', 'Courses', 'Related', 'Areas', 'requirement', '?']","['Students', 'must', 'select', '8-10', 'credits', 'department', 'list', 'complete', 'MICRB', '201', ',', 'BMB', '251/MICRB', '251', ',', 'BMB', '252/MICRB', '252', '.']"
"['maximum', 'number', 'credits', 'earned', 'BMB', '408', 'and/or', 'MICRB', '408', '?']","['maximum', 'number', 'credits', 'earned', 'BMB', '408', 'and/or', 'MICRB', '408', '3', 'credits', '.']"
"['requirement', 'Writing', 'Across', 'Curriculum', 'college', 'graduation', '?']","['Writing', 'Across', 'Curriculum', '3-credit', 'requirement', 'likely', 'prescribed', 'part', 'major', 'requirements', 'college', 'graduation', '.']"
"['role', 'First-Year', 'Seminar', 'students', 'entering', 'Penn', 'State', '?']","['First-Year', 'Seminars', 'provide', 'students', 'first-year', 'engagement', 'experience', 'required', 'baccalaureate', 'students', 'entering', 'Penn', 'State', '.']"
"['students', 'enrolled', 'ROTC', 'program', 'want', 'substitute', 'credits', 'Cultures', 'requirement', '?']","['Students', 'enrolled', 'ROTC', 'program', 'may', 'substitute', '6', 'credits', 'ROTC', 'categories', 'consultation', 'head', 'microbiology', 'program', '.']"
"['minimum', 'grade-point', 'average', 'required', 'complete', 'degree', 'requirements', '?']","['Candidates', 'must', 'earn', 'least', '2.00', 'grade-point', 'average', 'courses', 'completed', 'within', 'degree', 'program', '.']"
"['many', 'credits', 'course', 'work', 'may', 'required', 'major', '?']","['college', 'dean', ',', 'campus', 'chancellor', ',', 'program', 'faculty', 'may', 'require', '24', 'credits', 'course', 'work', 'major', '.']"
"['find', 'information', 'specific', 'credit', 'requirements', 'degree', 'programs', '?']","['specific', 'credit', 'requirements', ',', 'check', 'Suggested', 'Academic', 'Plan', 'intended', 'program', '.']"
"['role', 'academic', 'advising', 'university', '?']","['university', ""'s"", 'academic', 'advising', 'program', 'aims', 'help', 'advisees', 'identify', 'achieve', 'academic', 'goals', ',', 'promote', 'intellectual', 'discovery', ',', 'encourage', 'students', 'take', 'advantage', 'educational', 'opportunities', '.']"
"['shares', 'responsibility', 'making', 'advising', 'relationship', 'succeed', '?']","['Advisers', 'advisees', 'share', 'responsibility', 'making', 'advising', 'relationship', 'succeed', '.']"
"['primary', 'role', 'advisee', ""'s"", 'unit', 'enrollment', '?']","['advisee', ""'s"", 'unit', 'enrollment', 'provides', 'primary', 'academic', 'adviser', 'information', 'needed', 'plan', 'chosen', 'program', 'study', '.']"
"['find', 'Advising', 'Policy', 'Penn', 'State', '?']","['find', 'Advising', 'Policy', 'Penn', 'State', 'Senate', 'Policy', '32-00', '.']"
"['recommended', 'action', 'developing', 'refining', 'academic', 'plan', '?']","['recommended', 'consult', 'Penn', 'State', 'academic', 'adviser', 'regularly', 'develop', 'refine', 'academic', 'plan', '.']"
"['courses', 'recommended', 'first', 'year', 'Fall', 'semester', '?']","['first', 'year', ',', 'recommended', 'courses', 'Fall', 'semester', 'include', 'CHEM', '110', ',', 'CHEM', '111', ',', 'MATH', '140', ',', 'ENGL', '15', '.']"
"['access', 'previous', 'years', ""'"", 'suggested', 'academic', 'plans', '?']","['access', 'previous', 'years', ""'"", 'suggested', 'academic', 'plans', ',', 'visit', 'archive', 'Penn', 'State', 'website', '.']"
"['examples', 'courses', 'satisfy', 'Microbiology', 'degree', 'requirements', '?']","['examples', 'courses', 'satisfy', 'Microbiology', 'degree', 'requirements', 'include', 'MICRB', '201', ',', 'MICRB', '203', ',', 'CHEM', '112', ',', 'CHEM', '113', ',', 'MATH', '141', ',', 'CAS', '100A', ',', 'CAS', '100B', ',', 'CAS', '100C', ',', 'MICRB', '251', ',', 'MICRB', '252', ',', 'CHEM', '210', ',', 'CHEM', '212', ',', 'PHYS', '250', ',', 'CHEM', '213', ',', 'BIOL', '322', ',', 'BMB', '400', ',', 'BMB', '401', ',', 'BMB', '402', ',', 'BMB', '442', ',', 'MICRB', '401', ',', 'MICRB', '412', ',', 'MICRB', '415', ',', 'MICRB', '421W', ',', 'MICRB', '422', ',', 'MICRB', '450', ',', 'MICRB', '410', ',', 'MICRB', '415', ',', 'BMB', '428', ',', 'MICRB', '447', ',', 'ENGL', '202C', ',', 'ENGL', '202A', ',', 'ENGL', '202B', ',', 'ENGL', '202D', '.']"
"['consult', 'academic', 'advice', 'regarding', 'Microbiology', 'degree', 'requirements', '?']","['consult', 'academic', 'adviser', 'Jennifer', 'Keefer', 'University', 'Park', 'Campus', '.', 'contact', 'information', '239', 'Ritenour', 'Building', ',', 'University', 'Park', ',', '814-863-5487', ',', 'jls227', '@', 'psu.edu', '.']"
"['examples', 'General', 'Education', 'Courses', 'taken', 'part', 'Microbiology', 'degree', 'program', '?']","['examples', 'General', 'Education', 'Courses', 'taken', 'part', 'Microbiology', 'degree', 'program', 'include', 'General', 'Education', 'Course', '(', 'GHW', ')', ',', 'General', 'Education', 'Course', ',', 'Department', 'List', 'C', 'courses', '.']"
"['access', 'suggested', 'academic', 'plans', 'Microbiology', 'degree', 'program', '?']","['access', 'suggested', 'academic', 'plans', 'Microbiology', 'degree', 'program', 'archived', 'edition', 'Undergraduate', 'Bulletin', ',', 'beginning', '2018-19', 'edition', '.']"
"['alternative', 'options', 'courses', 'Microbiology', 'degree', 'program', '?']","['alternative', 'options', 'courses', 'Microbiology', 'degree', 'program', 'discussed', 'academic', 'advisers', 'specific', 'recommendations', 'based', 'individual', 'circumstances', '.']"
"['examples', 'courses', 'satisfy', 'Cultural', 'Diversity', 'requirement', '?']","['examples', 'courses', 'satisfy', 'Cultural', 'Diversity', 'requirement', 'include', 'courses', 'US', 'IL', 'abbreviation', ',', 'designate', 'courses', 'satisfy', 'Cultural', 'Diversity', 'Requirements', '(', 'United', 'States', 'International', 'Cultures', ')', '.']"
"['requirements', 'incoming', 'Schreyer', 'Honors', 'College', 'first-year', 'students', 'University', 'Park', '?']","['Incoming', 'Schreyer', 'Honors', 'College', 'first-year', 'students', 'University', 'Park', 'required', 'take', 'ENGL', '137H/CAS', '137H', 'fall', 'semester', 'ENGL', '138T/CAS', '138T', 'spring', 'semester', '.', 'courses', 'carry', 'GWS', 'designation', 'replace', 'ENGL', '30H', 'CAS', '100', '.']"
"['total', 'number', 'credits', 'required', 'Microbiology', ',', 'B.S', '.', 'degree', 'University', 'Park', 'Campus', '?']","['Microbiology', ',', 'B.S', '.', 'degree', 'University', 'Park', 'Campus', 'requires', 'total', '125', 'credits', '.']"
"['examples', '400-level', 'courses', 'satisfy', 'major', 'requirements', '?']","['examples', '400-level', 'courses', 'satisfy', 'major', 'requirements', 'include', 'BMB', 'MICRB', 'courses', ',', 'requirement', 'earning', 'grade', 'C', 'better', '.']"
"['two', 'courses', 'required', 'graduate', 'students', 'grade', 'C', 'better', '?']","['Graduate', 'students', 'required', 'take', 'Introductory', 'Microbiology', '(', 'MICRB', '201', ')', 'Molecular', 'Cell', 'Biology', '(', 'BMB', '251', ')', 'Molecular', 'Cell', 'Biology', 'II', '(', 'BMB', '252', ')', 'grade', 'C', 'better', '.']"
"['examples', 'General', 'Education', 'Courses', 'satisfy', 'Cultures', 'requirement', '?']","['examples', 'courses', 'satisfy', 'Cultures', 'requirement', 'include', 'ENGL', '202C', ',', 'ENGL', '202A', ',', 'ENGL', '202B', ',', 'ENGL', '202D', '.']"
"['credit', 'requirements', 'Second', 'Year', 'Fall', 'semester', '?']","['credit', 'requirements', 'Second', 'Year', 'Fall', 'semester', 'include', '15', 'credits', '.']"
"['examples', 'courses', 'require', 'grade', 'C', 'better', 'Second', 'Year', 'Fall', 'semester', '?']","['examples', 'courses', 'require', 'grade', 'C', 'better', 'Second', 'Year', 'Fall', 'semester', 'include', 'MICRB', '201', 'BIOL', '230W', '.']"
"['credit', 'requirements', 'Third', 'Year', 'Fall', 'semester', '?']","['credit', 'requirements', 'Third', 'Year', 'Fall', 'semester', 'include', '15', 'credits', '.']"
"['examples', 'courses', 'require', 'grade', 'C', 'better', 'Third', 'Year', 'Fall', 'semester', '?']","['examples', 'courses', 'require', 'grade', 'C', 'better', 'Third', 'Year', 'Fall', 'semester', 'include', 'BMB', '402', ',', 'BMB', '442', ',', 'MICRB', '412', '.']"
"['total', 'credits', 'required', 'degree', 'program', '?']","['total', 'credits', 'required', 'degree', 'program', '125', '.']"
"['examples', 'General', 'Education', 'Courses', 'satisfy', 'GHW', 'requirement', '?']","['examples', 'courses', 'satisfy', 'GHW', 'requirement', 'include', 'General', 'Education', 'Course', '(', 'GHW', ')', '.']"
"['examples', 'courses', 'require', 'grade', 'C', 'better', 'Third', 'Year', 'Spring', 'semester', '?']","['examples', 'courses', 'require', 'grade', 'C', 'better', 'Third', 'Year', 'Spring', 'semester', 'include', 'BMB', '402', ',', 'BMB', '442', ',', 'MICRB', '412', '.']"
"['examples', 'courses', 'satisfy', 'General', 'Education', 'degree', 'requirement', '?']","['examples', 'courses', 'satisfy', 'General', 'Education', 'degree', 'requirement', 'include', 'General', 'Education', 'Course', '.']"
"['examples', 'courses', 'satisfy', 'Major', 'requirement', '?']","['examples', 'courses', 'satisfy', 'Major', 'requirement', 'include', 'MICRB', '400Level', 'Selections', '.']"
"['examples', 'courses', 'satisfy', 'Cultural', 'Diversity', 'Requirements', '?']","['examples', 'courses', 'satisfy', 'Cultural', 'Diversity', 'Requirements', 'include', 'courses', 'W', ',', 'X', ',', 'suffixes', 'end', 'course', 'number', '.']"
"['requirements', 'Foundations', 'courses', '(', 'GWS', 'GQ', ')', '?']","['Foundations', 'courses', '(', 'GWS', 'GQ', ')', 'require', 'grade', ""'"", 'C', ""'"", 'better', '.']"
"['courses', 'incoming', 'Schreyer', 'Honors', 'College', 'first-year', 'students', 'University', 'Park', 'take', 'fall', 'semester', '?']","['Incoming', 'Schreyer', 'Honors', 'College', 'first-year', 'students', 'University', 'Park', 'take', 'ENGL', '137H/CAS', '137H', 'fall', 'semester', '.']"
"['courses', 'incoming', 'Schreyer', 'Honors', 'College', 'first-year', 'students', 'University', 'Park', 'take', 'spring', 'semester', '?']","['Incoming', 'Schreyer', 'Honors', 'College', 'first-year', 'students', 'University', 'Park', 'take', 'ENGL', '138T/CAS', '138T', 'spring', 'semester', '.']"
"['credit', 'value', 'course', 'CHEM', '110', '?']","['course', 'CHEM', '110', 'credit', 'value', '3', '.']"
"['credit', 'value', 'course', 'BIOL', '230W', '?']","['course', 'BIOL', '230W', 'credit', 'value', '1', '.']"
"['credit', 'value', 'course', 'CHEM', '112', '?']","['course', 'CHEM', '112', 'credit', 'value', '4', '.']"
"['credit', 'value', 'course', 'BIOL', '110', '?']","['course', 'BIOL', '110', 'credit', 'value', '4', '.']"
"['credit', 'value', 'course', 'MATH', '141', '?']","['course', 'MATH', '141', 'credit', 'value', '3', '.']"
"['credit', 'value', 'course', 'MATH', '140', '?']","['course', 'MATH', '140', 'credit', 'value', '1', '.']"
"['examples', 'courses', 'satisfy', 'Cultures', 'requirement', '?']","['examples', 'courses', 'satisfy', 'Cultures', 'requirement', 'include', 'COMM', '451', ',', 'COMM', '452', ',', 'COMM', '453', ',', 'COMM', '454', ',', 'COMM', '455', ',', 'COMM', '495', ',', 'COMM', '496', '.']"
"['requirements', 'BMB', '400-level', 'courses', '?']","['BMB', '400-level', 'courses', 'require', 'grade', 'C', 'better', 'completion', '9', 'credits', ',', 'except', 'listed', 'requirements', 'major', '.', 'recommended', 'consult', 'academic', 'adviser', 'clarification', '.']"
"['provide', 'information', 'General', 'Education', 'course', 'entrance', 'requirements', '?']","['General', 'Education', 'course', 'entrance', 'requirements', 'include', 'grade', 'C', 'better', 'specific', 'courses', 'Introductory', 'Microbiology', '(', 'MICRB', '201', ')', ',', 'Molecular', 'Cell', 'Biology', '(', 'BMB', '251', ')', ',', 'Biology', ':', 'Molecules', 'Cells', '(', 'BIOL', '230W', ')', ',', 'Molecular', 'Cell', 'Biology', 'II', '(', 'BMB', '252', ')', '.']"
"['approved', 'substitute', 'BIOL', '222', '?']","['BIOL', '322', 'approved', 'substitute', 'BIOL', '222', '.']"
"['courses', 'satisfy', 'University', 'Writing', 'Across', 'Curriculum', 'requirement', '?']","['Courses', 'suffixes', 'W', ',', 'X', 'end', 'course', 'number', 'satisfy', 'University', 'Writing', 'Across', 'Curriculum', 'requirement', '.']"
"['abbreviations', 'used', 'designate', 'courses', 'satisfy', 'Cultural', 'Diversity', 'Requirements', '?']","['abbreviations', 'US', 'IL', 'used', 'designate', 'courses', 'satisfy', 'Cultural', 'Diversity', 'Requirements', '(', 'United', 'States', 'International', 'Cultures', ')', '.']"
"['explain', 'General', 'Education', 'Notes', 'regarding', 'Knowledge', 'Domains', 'requirements', '?']","['General', 'Education', 'includes', 'Foundations', '(', 'GWS', ',', 'GQ', ')', ',', 'Knowledge', 'Domains', '(', 'GHW', ',', 'GN', ',', 'GA', ',', 'GH', ',', 'GS', ')', ',', 'Integrative', 'Studies', 'requirements', '.', 'NQ', 'suffix', 'end', 'course', 'number', 'helps', 'identify', 'Inter-domain', 'courses', '.']"
"['prerequisites', 'BMB', '252', '?']","['prerequisites', 'BMB', '252', 'include', 'completion', 'Molecular', 'Cell', 'Biology', '(', 'BMB', '251', ')', 'Molecular', 'Cell', 'Biology', '(', 'MICRB', '251', ')', '.']"
"['courses', 'required', 'BMB', 'major', '?']","['BMB', 'major', 'requires', 'completion', 'specific', 'courses', 'Introductory', 'Microbiology', '(', 'MICRB', '201', ')', ',', 'Molecular', 'Cell', 'Biology', '(', 'BMB', '251', ')', ',', 'Molecular', 'Cell', 'Biology', 'II', '(', 'BMB', '252', ')', '.']"
"['provide', 'examples', 'General', 'Education', 'courses', 'Department', 'List', 'C', '?']","['examples', 'General', 'Education', 'courses', 'Department', 'List', 'C', 'include', 'COMM', '451', ',', 'COMM', '452', ',', 'COMM', '453', ',', 'COMM', '454', ',', 'COMM', '455', ',', 'COMM', '495', ',', 'COMM', '496', '.']"
"['examples', 'career', 'paths', 'fourth-year', 'students', 'Microbiology', 'program', '?']","['examples', 'career', 'paths', 'fourth-year', 'students', 'Microbiology', 'program', 'include', 'Clinical', 'Microbiology', 'Lab', 'Director', ',', 'Drug', 'Development', ',', 'Food', 'Safety', 'Expert', ',', 'Genetic', 'Engineer', ',', 'Health', 'Professions', 'like', 'Dentist', ',', 'Optometrist', ',', 'Pharmacist', ',', 'Physician', ',', 'Physician', 'Assistant', '.']"
"['examples', 'microbiology-related', 'careers', 'BS', 'Microbiology', 'graduates', 'pursue', '?']","['examples', 'microbiology-related', 'careers', 'BS', 'Microbiology', 'graduates', 'pursue', 'include', 'Agricultural', 'Environmental', 'Scientist', ',', 'Biological/Media', 'Illustrator', ',', 'Biomedical', 'Researcher', ',', 'Biosecurity', 'Biodefense', ',', 'Brewery', 'Scientist', '.']"
"['examples', 'opportunities', 'graduate', 'studies', 'BS', 'Microbiology', 'graduates', '?']","['examples', 'opportunities', 'graduate', 'studies', 'BS', 'Microbiology', 'graduates', 'include', 'pursuing', 'MS', 'PhD', 'programs', 'microbiology-related', 'disciplines', 'biochemistry', ',', 'biology', ',', 'bioinformatics', ',', 'cell', 'biology', ',', 'chemistry', '.']"
"['examples', 'professions', 'BS', 'Microbiology', 'prepares', 'students', '?']","['BS', 'Microbiology', 'prepares', 'students', 'wide', 'variety', 'professions', ',', 'including', 'health-related', 'professions', ',', 'professions', 'academia', ',', 'government', ',', 'industry', '.']"
"['examples', 'courses', 'satisfy', 'Foundations', 'requirement', '?']","['examples', 'courses', 'satisfy', 'Foundations', 'requirement', 'include', 'ENGL', '15', ',', 'ESL', '15', ',', 'ENGL', '30H', ',', 'CHEM', '111', ',', 'MICRB', '410', '.']"
"['examples', 'courses', 'satisfy', 'Cultures', 'requirement', '?']","['examples', 'courses', 'satisfy', 'Cultures', 'requirement', 'include', 'COMM', '451', ',', 'COMM', '452', ',', 'COMM', '453', ',', 'COMM', '454', ',', 'COMM', '455', ',', 'COMM', '495', ',', 'COMM', '496', '.']"
"['examples', '400-level', 'MICRB', 'courses', 'students', 'take', '?']","['examples', '400-level', 'MICRB', 'courses', 'students', 'take', 'include', 'MICRB', '400-Level', 'Selections', '(', 'consult', 'academic', 'adviser', 'options', ')', ',', 'MICRB', '447', '(', 'consult', 'academic', 'adviser', 'options', ')', ',', 'MICRB', '412', ',', 'MICRB', '415', '.']"
"['examples', 'credits', 'required', 'ENGL', '202', 'courses', '?']","['examples', 'credits', 'required', 'ENGL', '202', 'courses', 'include', 'ENGL', '202C', ',', 'ENGL', '202A', ',', 'ENGL', '202B', ',', 'ENGL', '202D', '.']"
"['examples', 'alternative', 'options', 'MICRB', '400-level', 'courses', '?']","['examples', 'alternative', 'options', 'MICRB', '400-level', 'courses', 'include', 'consulting', 'academic', 'adviser', 'recommendations', 'course', 'selections', '.']"
