Tokenized_Query,Tokenized_Answer
"['additional', 'courses', 'required', 'General', 'Physics', 'Option', '?']","['additional', 'courses', 'required', 'General', 'Physics', 'Option', 'include', 'MATH', '421', 'Complex', 'Analysis', ',', 'MATH', '455', 'Introduction', 'Numerical', 'Analysis', ',', 'MATH', '456', 'Introduction', 'Numerical', 'Analysis', 'II', ',', 'PHYS', '402', 'Electronics', 'Scientists', '.']"
"['options', 'World', 'Language', 'course', 'work', 'beyond', '12th', 'credit', 'level', 'requirements', '?']","['options', 'World', 'Language', 'course', 'work', 'beyond', '12th', 'credit', 'level', 'requirements', 'include', 'completing', '6', 'credits', 'World', 'Language', 'course', 'work', 'completing', '6', 'credits', 'Inter-Domain', 'courses', '.']"
"['requirements', 'First', 'Year', 'Engagement', 'Penn', 'State', 'University', '?']","['requirements', 'First', 'Year', 'Engagement', 'Penn', 'State', 'University', 'include', 'taking', 'First-Year', 'Seminar', ',', 'specified', 'college', ',', 'completing', 'First-Year', 'Engagement', 'Plan', '.']"
"['options', 'Intermediate', 'Programming', 'course', 'Sequence', 'B', '?']","['options', 'Intermediate', 'Programming', 'course', 'Sequence', 'B', 'include', 'CMPSC', '459', ',', 'CMPSC', '465', 'Data', 'Structures', 'Algorithms', ',', 'CMPSC', '474', 'Operating', 'System', '&', 'Systems', 'Programming', '.']"
"['specific', 'requirements', 'Writing', 'Across', 'Curriculum', 'course', '?']","['specific', 'requirement', 'Writing', 'Across', 'Curriculum', 'course', '3', 'credits', ',', 'required', 'college', 'graduation', '.']"
"['courses', 'require', 'proficiency', 'demo', 'examination', 'coursework', 'second', 'semester', 'foreign', 'language', '?']","['courses', 'require', 'proficiency', 'demo', 'examination', 'coursework', 'second', 'semester', 'foreign', 'language', 'include', 'selecting', 'courses', 'school-approved', 'list', 'reach', 'required', 'proficiency', '.']"
"['courses', 'may', 'satisfy', 'Cultures', 'Requirement', '?']","['courses', 'may', 'satisfy', 'Cultures', 'Requirement', 'include', 'courses', 'United', 'States', 'Cultures', '3', 'credits', 'International', 'Cultures', '3', 'credits', '.']"
"['General', 'Education', 'Total', 'Minimum', 'Credits', 'required', 'art', 'major', '?']","['General', 'Education', 'Total', 'Minimum', 'Credits', 'required', 'art', 'major', 'include', '6', 'credits', 'Quantification', '(', 'GQ', ')', ',', '9', 'credits', 'Writing', 'Speaking', '(', 'GWS', ')', ',', '3', 'credits', 'Arts', '(', 'GA', ')', ',', 'Health', 'Wellness', '(', 'GHW', ')', ',', 'Humanities', '(', 'GH', ')', ',', 'Social', 'Behavioral', 'Sciences', '(', 'GS', ')', ',', 'Natural', 'Sciences', '(', 'GN', ')', '.']"
"['keystone', 'symbol', 'next', 'course', 'title', 'General', 'Education', 'curriculum', '?']","['keystone', 'symbol', 'next', 'course', 'title', 'designates', 'General', 'Education', 'course', '.']"
"['many', 'Inter-Domain', 'courses', 'required', 'General', 'Education', 'curriculum', '?']","['General', 'Education', 'curriculum', 'requires', 'minimum', '6', 'credits', 'Inter-Domain', 'courses', '.']"
"['minimum', 'number', 'degree', 'credits', 'must', 'earned', 'baccalaureate', 'degree', '?']","['minimum', '120', 'degree', 'credits', 'must', 'earned', 'baccalaureate', 'degree', '.']"
"['minimum', 'grade-point', 'average', 'required', 'courses', 'completed', 'within', 'degree', 'program', '?']","['minimum', 'grade-point', 'average', '2.00', 'required', 'courses', 'completed', 'within', 'degree', 'program', '.']"
"['limitations', 'source', 'time', 'credit', 'acquisition', 'degree', 'program', '?']","['College', 'deans', ',', 'campus', 'chancellors', ',', 'program', 'faculty', 'may', 'require', '24', 'credits', 'coursework', 'major', 'taken', 'specific', 'location', 'within', 'certain', 'time', 'frame', '.']"
"['Core', 'Knowledge', 'objectives', 'Physics', ',', 'B.S', '.', 'program', 'Behrend', '?']","['Core', 'Knowledge', 'objectives', 'Physics', ',', 'B.S', '.', 'program', 'Behrend', 'include', 'learning', ',', 'integrating', ',', 'applying', 'knowledge', 'methodological', 'approaches', 'core', 'areas', 'electricity', ',', 'magnetism', ',', 'thermodynamics', ',', 'optics', ',', 'quantum', 'mechanics', '.']"
"['purpose', 'university', ""'s"", 'academic', 'advising', 'program', '?']","['university', ""'s"", 'academic', 'advising', 'program', 'aims', 'help', 'advisees', 'identify', 'achieve', 'academic', 'goals', ',', 'promote', 'intellectual', 'discovery', ',', 'encourage', 'students', 'become', 'self-directed', 'learners', 'decision', 'makers', '.']"
"['responsibilities', 'advisers', 'advisees', 'share', 'advising', 'relationship', '?']","['Advisers', 'advisees', 'share', 'responsibility', 'making', 'advising', 'relationship', 'succeed', 'encouraging', 'advisees', 'become', 'engaged', 'education', ',', 'meet', 'educational', 'goals', ',', 'develop', 'habit', 'learning', '.']"
"['students', 'find', 'information', 'specific', 'credit', 'requirements', 'degree', 'program', '?']","['Students', 'consult', 'college', 'department', 'adviser', 'information', 'specific', 'credit', 'requirements', 'degree', 'program', '.']"
"['examples', 'courses', 'satisfy', 'Cultures', 'requirement', '?']","['examples', 'courses', 'satisfy', 'Cultures', 'requirement', 'include', 'COMM', '451', ',', 'COMM', '452', ',', 'COMM', '453', ',', 'COMM', '454', ',', 'COMM', '455', ',', 'COMM', '495', ',', 'COMM', '496', '.']"
"['provide', 'information', 'needed', 'plan', 'chosen', 'program', 'study', '?']","['primary', 'academic', 'adviser', 'provide', 'information', 'needed', 'plan', 'chosen', 'program', 'study', '.']"
"['find', 'Advising', 'Policy', 'Penn', 'State', '?']","['find', 'Advising', 'Policy', 'Penn', 'State', 'visiting', 'Senate', 'Policy', '32-00', ':', 'Advising', 'Policy', 'https', ':', '//senate.psu.edu/policies-and-rules-for-undergraduate-students/32-00-advising-policy/', '.']"
"['contact', 'information', 'Darren', 'Williams', ',', 'Ph.D.', ',', 'Professor', 'Astronomy', 'Astrophysics', 'Penn', 'State', 'Erie', '?']","['Darren', 'Williams', ',', 'Ph.D.', ',', 'reached', 'Physics', '120', 'Witkowski', 'Erie', ',', 'PA', '16563', ',', 'email', 'dmw145', '@', 'psu.edu', '.']"
"['access', 'previous', 'years', ""'"", 'suggested', 'academic', 'plans', 'Penn', 'State', '?']","['Yes', ',', 'access', 'previous', 'years', ""'"", 'suggested', 'academic', 'plans', 'visiting', 'archive', 'https', ':', '//bulletins.psu.edu/undergraduate/archive/', 'viewing', 'appropriate', 'Undergraduate', 'Bulletin', 'edition', '.']"
"['consult', 'regular', 'basis', 'develop', 'refine', 'academic', 'plan', 'Penn', 'State', '?']","['consult', 'Penn', 'State', 'academic', 'adviser', 'regular', 'basis', 'develop', 'refine', 'academic', 'plan', 'appropriately', '.']"
"['examples', 'General', 'Education', 'Courses', 'Penn', 'State', '?']","['examples', 'General', 'Education', 'Courses', 'Penn', 'State', 'include', 'ENGL', '15', ',', 'MATH', '140', ',', 'PHYS', '494', ',', 'PHYS', '495', '.']"
"['abbreviations', 'used', 'designate', 'courses', 'satisfy', 'Cultural', 'Diversity', 'Requirements', 'Penn', 'State', '?']","['abbreviations', 'used', 'designate', 'courses', 'satisfy', 'Cultural', 'Diversity', 'Requirements', 'Penn', 'State', 'US', 'IL', '.']"
"['requirements', 'courses', 'Foundations', 'category', 'Penn', 'State', '?']","['Courses', 'Foundations', 'category', 'Penn', 'State', 'require', 'grade', ""'"", 'C', ""'"", 'better', '.']"
"['examples', 'courses', 'taught', 'Fall', 'semester', 'Penn', 'State', '?']","['examples', 'courses', 'taught', 'Fall', 'semester', 'Penn', 'State', 'include', 'CMPSC', '474', ',', 'MATH', '455', ',', 'PHYS', '400', ',', 'PHYS', '402', ',', 'PHYS', '414', ',', 'PHYS', '420', '.']"
"['examples', 'courses', 'taught', 'Spring', 'semester', 'Penn', 'State', '?']","['examples', 'courses', 'taught', 'Spring', 'semester', 'Penn', 'State', 'include', 'CMPSC', '455', ',', 'MATH', '421', ',', 'MATH', '428', ',', 'MATH', '456', ',', 'PHYS', '410', ',', 'PHYS', '419', ',', 'PHYS', '421W', ',', 'PHYS', '458', '.']"
"['Cultures', 'Requirement', 'Penn', 'State', '?']","['Cultures', 'Requirement', 'Penn', 'State', 'consists', '6', 'credits', ',', '3', 'credits', 'United', 'States', 'Cultures', '3', 'credits', 'International', 'Cultures', '.']"
"['many', 'credits', 'required', 'Writing', 'Across', 'Curriculum', 'Penn', 'State', '?']","['Writing', 'Across', 'Curriculum', 'Penn', 'State', 'requires', '3', 'credits', 'college', 'graduation', '.']"
"['total', 'minimum', 'number', 'credits', 'required', 'earn', 'baccalaureate', 'degree', 'Penn', 'State', '?']","['total', 'minimum', 'number', 'credits', 'required', 'earn', 'baccalaureate', 'degree', 'Penn', 'State', '120', 'credits', '.']"
"['minimum', 'grade-point', 'average', 'required', 'complete', 'degree', 'requirements', 'major', 'Penn', 'State', '?']","['Candidates', 'must', 'earn', 'least', '2.00', 'grade-point', 'average', 'courses', 'completed', 'within', 'degree', 'program', 'Penn', 'State', '.']"
"['many', 'credits', 'course', 'work', 'may', 'required', 'college', 'dean', ',', 'campus', 'chancellor', ',', 'program', 'faculty', 'major', 'Penn', 'State', '?']","['college', 'dean', ',', 'campus', 'chancellor', ',', 'program', 'faculty', 'may', 'require', '24', 'credits', 'course', 'work', 'major', 'Penn', 'State', '.']"
"['purpose', 'university', ""'s"", 'academic', 'advising', 'program', 'Penn', 'State', '?']","['university', ""'s"", 'academic', 'advising', 'program', 'Penn', 'State', 'aims', 'help', 'advisees', 'identify', 'achieve', 'academic', 'goals', ',', 'promote', 'intellectual', 'discovery', ',', 'encourage', 'students', 'take', 'advantage', 'educational', 'opportunities', '.']"
"['Associate', 'Professor', 'Engineering', 'Erie', 'campus', 'Penn', 'State', '?']","['Brian', 'Young', 'Associate', 'Professor', 'Engineering', 'Erie', 'campus', 'Penn', 'State', '.']"
"['Suggested', 'Academic', 'Plan', 'Plastics', 'Engineering', 'Technology', 'Penn', 'State', '?']","['Suggested', 'Academic', 'Plan', 'Plastics', 'Engineering', 'Technology', 'Penn', 'State', 'provides', 'course', 'series', 'one', 'possible', 'ways', 'move', 'curriculum', '.']"
"['students', 'access', 'previous', 'years', ""'"", 'suggested', 'academic', 'plans', 'Penn', 'State', '?']","['Students', 'access', 'previous', 'years', ""'"", 'suggested', 'academic', 'plans', 'Penn', 'State', 'visiting', 'archive', 'Penn', 'State', 'website', 'viewing', 'appropriate', 'Undergraduate', 'Bulletin', 'edition', '.']"
"['courses', 'listed', 'First', 'Year', 'Fall', 'semester', 'Suggested', 'Academic', 'Plan', 'Plastics', 'Engineering', 'Technology', 'Penn', 'State', '?']","['First', 'Year', 'Fall', 'semester', 'Suggested', 'Academic', 'Plan', 'Plastics', 'Engineering', 'Technology', 'Penn', 'State', ',', 'courses', 'include', 'EGT', '120', ',', 'ENGL', '15', ',', 'CHEM', '110', ',', 'MATH', '41', ',', 'General', 'Education', 'Course', '.']"
"['examples', 'courses', 'satisfy', 'Cultures', 'requirement', '?']","['examples', 'courses', 'satisfy', 'Cultures', 'requirement', 'include', 'COMM', '451', ',', 'COMM', '452', ',', 'COMM', '453', ',', 'COMM', '454', ',', 'COMM', '455', ',', 'COMM', '495', ',', 'COMM', '496', '.']"
"['potential', 'career', 'options', 'graduates', 'Plastics', 'Engineering', 'Technology', 'program', '?']","['Graduates', 'Plastics', 'Engineering', 'Technology', 'program', 'pursue', 'careers', 'industries', 'automotive', ',', 'aerospace', ',', 'medical', ',', 'electronics', ',', 'computer', ',', 'toy', ',', 'consumer', 'products', 'manufacturing', '.']"
"['employers', 'recent', 'B.S', '.', 'Plastics', 'Engineering', 'Technology', 'graduates', 'worked', '?']","['Recent', 'B.S', '.', 'Plastics', 'Engineering', 'Technology', 'graduates', 'worked', 'companies', 'like', 'Apple', ',', 'General', 'Motors', ',', 'Graham', 'Packaging', ',', 'Graco', ',', 'Microsoft', ',', 'Nike', ',', 'Philips', 'Healthcare', ',', 'Rubbermaid', ',', 'Tesla', '.']"
"['opportunities', 'available', 'graduate', 'studies', 'students', 'degree', 'Plastics', 'Engineering', 'Technology', '?']","['Students', 'degree', 'Plastics', 'Engineering', 'Technology', 'pursue', 'master', ""'s"", 'doctoral', 'degrees', 'areas', 'plastics', 'engineering', ',', 'polymer', 'science', ',', 'materials', 'science', ',', 'medical', 'plastics', ',', 'elastomeric', 'materials', '.']"
"['professional', 'resources', 'students', 'Plastics', 'Engineering', 'Technology', 'program', 'utilize', '?']","['Students', 'Plastics', 'Engineering', 'Technology', 'program', 'utilize', 'resources', 'ABET', ',', 'Society', 'Plastics', 'Engineers', ',', 'Institution', 'Engineering', 'Technology', ',', 'Society', 'Women', 'Engineers', ',', 'National', 'Society', 'Black', 'Engineers', '.']"
"['purpose', 'university', ""'s"", 'academic', 'advising', 'program', '?']","['university', ""'s"", 'academic', 'advising', 'program', 'aims', 'help', 'advisees', 'identify', 'achieve', 'academic', 'goals', ',', 'promote', 'intellectual', 'discovery', ',', 'encourage', 'students', 'take', 'advantage', 'educational', 'opportunities', 'classroom', 'order', 'become', 'self-directed', 'learners', 'decision', 'makers', '.']"
"['students', 'interested', 'plastics', 'processing', 'education', '?']","['Students', 'interested', 'plastics', 'processing', 'pursue', 'master', ""'s"", 'doctoral', 'degrees', 'plastics', 'engineering', ',', 'polymer', 'science', ',', 'materials', 'science', ',', 'medical', 'plastics', ',', 'elastomeric', 'materials', '.']"
"['professional', 'resources', 'related', 'Plastics', 'Engineering', 'Technology', '?']","['professional', 'resources', 'related', 'Plastics', 'Engineering', 'Technology', 'include', 'ABET', ',', 'Society', 'Plastics', 'Engineers', ',', 'Society', 'Women', 'Engineers', ',', 'National', 'Society', 'Black', 'Engineers', '.']"
"['students', 'contact', 'School', 'Engineering', 'Erie', 'information', '?']","['Students', 'contact', 'School', 'Engineering', 'Erie', 'visiting', '242', 'Jack', 'Burke', 'Research', 'Economic', 'Development', 'Center', ',', '5101', 'Jordan', 'Road', ',', 'Erie', ',', 'PA', '16563', ',', 'calling', '814-898-6153', ',', 'emailing', 'engineering', '@', 'psu.edu', '.']"
"['program', 'description', 'Political', 'Science', ',', 'B.A', '.', 'Behrend', '?']","['program', 'description', 'Political', 'Science', ',', 'B.A', '.', 'Behrend', 'includes', 'different', 'subfields', 'American', 'government', ',', 'international', 'relations', ',', 'comparative', 'politics', ',', 'political', 'theory', ',', 'law', ',', 'public', 'policy', 'administration', '.']"
"['options', 'available', 'within', 'Political', 'Science', ',', 'B.A', '.', 'program', 'Behrend', '?']","['options', 'available', 'within', 'Political', 'Science', ',', 'B.A', '.', 'program', 'Behrend', 'include', 'Crime', 'Law', 'Option', 'International', 'Relations', 'Option', ',', 'offering', 'coursework', 'tailored', 'prepare', 'students', 'specific', 'careers', 'law', ',', 'criminal', 'justice', ',', 'international', 'institutions', ',', 'business', ',', 'graduate', 'school', 'international', 'affairs', '.']"
"['reasons', 'student', 'might', 'like', 'Political', 'Science', ',', 'B.A', '.', 'program', 'Behrend', '?']","['student', 'might', 'like', 'Political', 'Science', ',', 'B.A', '.', 'program', 'Behrend', 'want', 'understand', 'political', 'governmental', 'decisions', ',', 'enjoy', 'discussing', 'analyzing', 'current', 'events', ',', 'interested', 'legal', 'system', 'works', ',', 'curious', 'diplomacy', ',', 'looking', 'degree', 'versatile', 'career', 'paths', '.']"
"['entrance', 'requirements', 'Political', 'Science', 'major', 'Behrend', '?']","['order', 'eligible', 'enter', 'Political', 'Science', 'major', 'Behrend', ',', 'student', 'must', 'attain', 'least', 'C', '(', '2.00', ')', 'cumulative', 'grade-point', 'average', 'university', 'courses', 'least', 'third-semester', 'classification', '.']"
"['many', 'credits', 'required', 'Bachelor', 'Arts', 'degree', 'Political', 'Science', 'Behrend', '?']","['minimum', '120', 'credits', 'required', 'Bachelor', 'Arts', 'degree', 'Political', 'Science', 'Behrend', ',', 'including', '45', 'credits', 'General', 'Education', ',', '15', 'credits', 'Electives', ',', '24', 'credits', 'Politics', 'Government', 'Option', '.']"
"['Politics', 'Government', 'Option', 'within', 'Political', 'Science', 'program', 'Behrend', 'allow', 'students', '?']","['Politics', 'Government', 'Option', 'within', 'Political', 'Science', 'program', 'Behrend', 'allows', 'students', 'choose', 'concentrations', 'coursework', 'within', 'political', 'science', 'tailor', 'education', 'prepare', 'specific', 'career', 'paths', '.']"
"['examples', 'careers', 'students', 'pursue', 'degree', 'Political', 'Science', '?']","['Students', 'degree', 'Political', 'Science', 'pursue', 'careers', 'government', 'employment', ',', 'social', 'studies', 'secondary', 'education', ',', 'activist', 'politics', ',', 'graduate', 'school', 'political', 'science', ',', 'public', 'administration', '.']"
"['requirements', 'Public', 'Policy', 'Option', 'Political', 'Science', 'program', '?']","['Public', 'Policy', 'Option', 'Political', 'Science', 'program', 'requires', 'coursework', 'related', 'making', 'government', 'policy', 'decisions', 'effectively', 'prepares', 'students', 'careers', 'government', 'offices', ',', 'businesses', ',', 'interest', 'groups', ',', 'think', 'tanks', ',', 'related', 'fields', 'public', 'policy', 'public', 'administration', '.']"
"['focus', 'study', 'Political', 'Science', '?']","['Political', 'Science', 'social', 'science', 'focuses', 'study', 'systems', 'governance', ',', 'governmental', 'institutions', ',', 'political', 'activity', ',', 'political', 'thought', ',', 'political', 'behavior', '.', 'draws', 'various', 'academic', 'disciplines', 'economics', ',', 'law', ',', 'sociology', ',', 'history', ',', 'philosophy', ',', 'geography', ',', 'psychology', ',', 'anthropology', '.']"
"['subfields', 'within', 'Political', 'Science', '?']","['subfields', 'within', 'Political', 'Science', 'include', 'comparative', 'politics', ',', 'political', 'theory', ',', 'international', 'relations', ',', 'international', 'law', ',', 'public', 'administration', ',', 'public', 'policy', '.']"
"['Political', 'Science', 'students', 'study', 'American', 'government', 'coursework', '?']","['American', 'government', 'coursework', ',', 'Political', 'Science', 'students', 'study', 'government', 'works', 'done', 'improve', 'government', 'federal', ',', 'state', ',', 'local', 'levels', '.']"
"['requirements', 'earning', 'Bachelor', 'Arts', 'Degree', 'Pennsylvania', 'State', 'University', '?']","['earn', 'Bachelor', 'Arts', 'Degree', 'Pennsylvania', 'State', 'University', ',', 'students', 'must', 'fulfill', 'requirements', 'major', ',', 'general', 'education', ',', 'electives', ',', 'possibility', 'demonstrating', 'foreign', 'language', 'proficiency', 'examination', '.']"
"['minimum', 'grade', 'requirement', '300-400', 'level', 'courses', 'major', 'field', 'undergraduate', 'students', '?']","['Undergraduate', 'students', 'must', 'earn', 'least', 'grade', 'C', '300-400', 'level', 'courses', 'major', 'field', '.']"
"['Common', 'Requirements', 'Politics', 'Government', 'Option', 'Political', 'Science', 'program', '?']","['Politics', 'Government', 'Option', 'Political', 'Science', 'program', 'includes', 'courses', 'American', 'Politics', ':', 'Principles', ',', 'Processes', ',', 'Powers', ',', 'Comparing', 'Politics', 'around', 'Globe', ',', 'International', 'Relations', ',', 'additional', 'courses', 'Contemporary', 'Political', 'Ideologies', 'Introduction', 'Political', 'Theory', '.']"
"['additional', 'course', 'requirements', 'Crime', 'Law', 'Option', 'Political', 'Science', 'program', '?']","['Crime', 'Law', 'Option', 'Political', 'Science', 'program', 'requires', 'additional', 'courses', 'Criminology', ',', 'Juvenile', 'Delinquency', ',', 'Introduction', 'Criminal', 'Justice', ',', 'American', 'Constitutional', 'Law', ',', 'American', 'Legal', 'Process', ',', 'International', 'Law', 'Organizations', ',', 'law', 'courses', 'approved', 'list', '.']"
"['courses', 'included', 'International', 'Relations', 'Option', 'Political', 'Science', 'program', '?']","['International', 'Relations', 'Option', 'Political', 'Science', 'program', 'includes', 'courses', 'Introductory', 'Macroeconomic', 'Analysis', 'Policy', ',', 'Economic', 'Geography', ',', 'additional', 'courses', 'Public', 'Policy', '.']"
"['examples', 'courses', 'satisfy', 'Cultures', 'requirement', '?']","['examples', 'courses', 'satisfy', 'Cultures', 'requirement', 'include', 'COMM', '451', ',', 'COMM', '452', ',', 'COMM', '453', ',', 'COMM', '454', ',', 'COMM', '455', ',', 'COMM', '495', ',', 'COMM', '496', '.']"
"['General', 'Education', 'requirements', 'students', '?']","['General', 'Education', 'curriculum', 'provides', 'students', 'opportunity', 'acquire', 'transferable', 'skills', 'necessary', 'successful', 'future', 'thrive', 'interconnected', 'contexts', '.']"
"['Quanti', 'cation', '(', 'GQ', ')', 'requirement', 'students', '?']","['Quanti', 'cation', '(', 'GQ', ')', 'requirement', 'students', '6', 'credits', '.']"
"['Writing', 'Speaking', '(', 'GWS', ')', 'requirement', 'students', '?']","['Writing', 'Speaking', '(', 'GWS', ')', 'requirement', 'students', '9', 'credits', '.']"
"['examples', 'courses', 'satisfy', 'Arts', '(', 'GA', ')', 'requirement', '?']","['examples', 'courses', 'satisfy', 'Arts', '(', 'GA', ')', 'requirement', 'include', 'PLSC', '90', 'Introduction', 'Security', 'PLSC', '140', 'Contemporary', 'Controversies', 'International', 'Relations', '.']"
"['examples', 'courses', 'satisfy', 'Health', 'Wellness', '(', 'GHW', ')', 'requirement', '?']","['examples', 'courses', 'satisfy', 'Health', 'Wellness', '(', 'GHW', ')', 'requirement', 'include', 'PLSC', '200N', 'Government', 'Politics', 'Europe', '.']"
"['examples', 'courses', 'satisfy', 'Social', 'Behavioral', 'Sciences', '(', 'GS', ')', 'requirement', '?']","['examples', 'courses', 'satisfy', 'Social', 'Behavioral', 'Sciences', '(', 'GS', ')', 'requirement', 'include', 'PLSC', '220', 'Politics', 'Developing', 'World', '.']"
